FltNum,DptrDate,DptrTime,DptrStn,ArrvDate,ArrvTime,ArrvStn,Comp,DutyCostPerHour,ParingCostPerHour
FB8559,8/27/2019,0:05,HOM,8/27/2019,2:05,SXA,C1F1,640.0,20.0
FB8559,8/28/2019,0:05,HOM,8/28/2019,2:05,SXA,C1F1,640.0,20.0
FB8559,8/29/2019,0:05,HOM,8/29/2019,2:05,SXA,C1F1,640.0,20.0
FB8559,8/30/2019,0:05,HOM,8/30/2019,2:05,SXA,C1F1,640.0,20.0
FB8567,8/27/2019,0:35,XXJ,8/27/2019,2:25,SXA,C1F1,,
FB8567,8/28/2019,0:35,XXJ,8/28/2019,2:25,SXA,C1F1,,
FB8567,8/29/2019,0:35,XXJ,8/29/2019,2:25,SXA,C1F1,,
FB8567,8/30/2019,0:35,XXJ,8/30/2019,2:25,SXA,C1F1,,
FB1000,8/27/2019,3:35,SXA,8/27/2019,5:55,NKX,C1F1,,
FB1000,8/28/2019,3:35,SXA,8/28/2019,5:55,NKX,C1F1,,
FB1000,8/29/2019,3:35,SXA,8/29/2019,5:55,NKX,C1F1,,
FB1000,8/30/2019,3:35,SXA,8/30/2019,5:55,NKX,C1F1,,
FB8558,8/27/2019,4:50,SXA,8/27/2019,7:00,NKX,C1F1,,
FB8558,8/28/2019,4:50,SXA,8/28/2019,7:00,NKX,C1F1,,
FB8558,8/29/2019,4:50,SXA,8/29/2019,7:00,NKX,C1F1,,
FB8558,8/30/2019,4:50,SXA,8/30/2019,7:00,NKX,C1F1,,
FB89,8/26/2019,6:10,NKX,8/26/2019,9:00,HUK,C1F1,640.0,20.0
FB89,8/27/2019,6:10,NKX,8/27/2019,9:00,HUK,C1F1,640.0,20.0
FB89,8/28/2019,6:10,NKX,8/28/2019,9:00,HUK,C1F1,640.0,20.0
FB89,8/29/2019,6:10,NKX,8/29/2019,9:00,HUK,C1F1,640.0,20.0
FB89,8/30/2019,6:10,NKX,8/30/2019,9:00,HUK,C1F1,640.0,20.0
FB239,8/26/2019,6:25,NKX,8/26/2019,8:15,FBX,C1F1,640.0,20.0
FB239,8/27/2019,6:25,NKX,8/27/2019,8:15,FBX,C1F1,640.0,20.0
FB239,8/28/2019,6:25,NKX,8/28/2019,8:15,FBX,C1F1,640.0,20.0
FB239,8/29/2019,6:25,NKX,8/29/2019,8:15,FBX,C1F1,640.0,20.0
FB239,8/30/2019,6:25,NKX,8/30/2019,8:15,FBX,C1F1,640.0,20.0
FB411,8/26/2019,6:25,NKX,8/26/2019,7:35,HOM,C1F1,640.0,20.0
FB985,8/26/2019,6:25,NKX,8/26/2019,7:30,HOM,C1F1,640.0,20.0
FB411,8/27/2019,6:25,NKX,8/27/2019,7:35,HOM,C1F1,640.0,20.0
FB985,8/27/2019,6:25,NKX,8/27/2019,7:30,HOM,C1F1,640.0,20.0
FB411,8/28/2019,6:25,NKX,8/28/2019,7:35,HOM,C1F1,640.0,20.0
FB985,8/28/2019,6:25,NKX,8/28/2019,7:30,HOM,C1F1,640.0,20.0
FB411,8/29/2019,6:25,NKX,8/29/2019,7:35,HOM,C1F1,640.0,20.0
FB985,8/29/2019,6:25,NKX,8/29/2019,7:30,HOM,C1F1,640.0,20.0
FB411,8/30/2019,6:25,NKX,8/30/2019,7:35,HOM,C1F1,640.0,20.0
FB985,8/30/2019,6:25,NKX,8/30/2019,7:30,HOM,C1F1,640.0,20.0
