FltNum,DptrDate,DptrTime,DptrStn,ArrvDate,ArrvTime,ArrvStn,Comp,DutyCostPerHour,ParingCostPerHour
FB8559,8/6/2019,0:05,HOM,8/6/2019,2:05,SXA,C1F1,640.0,20.0
FB8559,8/7/2019,0:05,HOM,8/7/2019,2:05,SXA,C1F1,640.0,20.0
FB8559,8/8/2019,0:05,HOM,8/8/2019,2:05,SXA,C1F1,640.0,20.0
FB8559,8/9/2019,0:05,HOM,8/9/2019,2:05,SXA,C1F1,640.0,20.0
FB8559,8/10/2019,0:05,HOM,8/10/2019,2:05,SXA,C1F1,640.0,20.0
FB8567,8/6/2019,0:35,XXJ,8/6/2019,2:25,SXA,C1F1,,
FB8567,8/7/2019,0:35,XXJ,8/7/2019,2:25,SXA,C1F1,,
FB8567,8/8/2019,0:35,XXJ,8/8/2019,2:25,SXA,C1F1,,
FB8567,8/9/2019,0:35,XXJ,8/9/2019,2:25,SXA,C1F1,,
FB8567,8/10/2019,0:35,XXJ,8/10/2019,2:25,SXA,C1F1,,
FB1000,8/6/2019,3:35,SXA,8/6/2019,5:55,NKX,C1F1,,
FB1000,8/7/2019,3:35,SXA,8/7/2019,5:55,NKX,C1F1,,
FB1000,8/8/2019,3:35,SXA,8/8/2019,5:55,NKX,C1F1,,
FB1000,8/9/2019,3:35,SXA,8/9/2019,5:55,NKX,C1F1,,
FB1000,8/10/2019,3:35,SXA,8/10/2019,5:55,NKX,C1F1,,
FB8558,8/6/2019,4:50,SXA,8/6/2019,7:00,NKX,C1F1,,
FB8558,8/7/2019,4:50,SXA,8/7/2019,7:00,NKX,C1F1,,
FB8558,8/8/2019,4:50,SXA,8/8/2019,7:00,NKX,C1F1,,
FB8558,8/9/2019,4:50,SXA,8/9/2019,7:00,NKX,C1F1,,
FB8558,8/10/2019,4:50,SXA,8/10/2019,7:00,NKX,C1F1,,
FB89,8/6/2019,6:10,NKX,8/6/2019,9:00,HUK,C1F1,640.0,20.0
FB89,8/7/2019,6:10,NKX,8/7/2019,9:00,HUK,C1F1,640.0,20.0
FB89,8/8/2019,6:10,NKX,8/8/2019,9:00,HUK,C1F1,640.0,20.0
FB89,8/9/2019,6:10,NKX,8/9/2019,9:00,HUK,C1F1,640.0,20.0
FB89,8/10/2019,6:10,NKX,8/10/2019,9:00,HUK,C1F1,640.0,20.0
FB239,8/6/2019,6:25,NKX,8/6/2019,8:15,FBX,C1F1,640.0,20.0
FB239,8/7/2019,6:25,NKX,8/7/2019,8:15,FBX,C1F1,640.0,20.0
FB239,8/8/2019,6:25,NKX,8/8/2019,8:15,FBX,C1F1,640.0,20.0
FB239,8/9/2019,6:25,NKX,8/9/2019,8:15,FBX,C1F1,640.0,20.0
FB239,8/10/2019,6:25,NKX,8/10/2019,8:15,FBX,C1F1,640.0,20.0
FB411,8/6/2019,6:25,NKX,8/6/2019,7:35,HOM,C1F1,640.0,20.0
FB985,8/6/2019,6:25,NKX,8/6/2019,7:30,HOM,C1F1,640.0,20.0
FB411,8/7/2019,6:25,NKX,8/7/2019,7:35,HOM,C1F1,640.0,20.0
FB985,8/7/2019,6:25,NKX,8/7/2019,7:30,HOM,C1F1,640.0,20.0
FB411,8/8/2019,6:25,NKX,8/8/2019,7:35,HOM,C1F1,640.0,20.0
FB985,8/8/2019,6:25,NKX,8/8/2019,7:30,HOM,C1F1,640.0,20.0
FB411,8/9/2019,6:25,NKX,8/9/2019,7:35,HOM,C1F1,640.0,20.0
FB985,8/9/2019,6:25,NKX,8/9/2019,7:30,HOM,C1F1,640.0,20.0
FB411,8/10/2019,6:25,NKX,8/10/2019,7:35,HOM,C1F1,640.0,20.0
FB985,8/10/2019,6:25,NKX,8/10/2019,7:30,HOM,C1F1,640.0,20.0
FB8560,8/6/2019,6:35,SXA,8/6/2019,8:30,HOM,C1F1,,
FB8560,8/7/2019,6:35,SXA,8/7/2019,8:30,HOM,C1F1,,
FB8560,8/8/2019,6:35,SXA,8/8/2019,8:30,HOM,C1F1,,
FB8560,8/9/2019,6:35,SXA,8/9/2019,8:30,HOM,C1F1,,
FB8560,8/10/2019,6:35,SXA,8/10/2019,8:30,HOM,C1F1,,
FB293,8/6/2019,6:40,NKX,8/6/2019,7:55,OOJ,C1F1,640.0,20.0
FB293,8/7/2019,6:40,NKX,8/7/2019,7:55,OOJ,C1F1,640.0,20.0
FB293,8/8/2019,6:40,NKX,8/8/2019,7:55,OOJ,C1F1,640.0,20.0
FB293,8/9/2019,6:40,NKX,8/9/2019,7:55,OOJ,C1F1,640.0,20.0
FB293,8/10/2019,6:40,NKX,8/10/2019,7:55,OOJ,C1F1,640.0,20.0
FB993,8/6/2019,6:40,NKX,8/6/2019,9:05,SXA,C1F1,640.0,20.0
FB993,8/7/2019,6:40,NKX,8/7/2019,9:05,SXA,C1F1,640.0,20.0
FB993,8/8/2019,6:40,NKX,8/8/2019,9:05,SXA,C1F1,640.0,20.0
FB993,8/9/2019,6:40,NKX,8/9/2019,9:05,SXA,C1F1,640.0,20.0
FB993,8/10/2019,6:40,NKX,8/10/2019,9:05,SXA,C1F1,640.0,20.0
FB619,8/6/2019,6:45,NKX,8/6/2019,8:30,XSJ,C1F1,640.0,20.0
FB619,8/7/2019,6:45,NKX,8/7/2019,8:30,XSJ,C1F1,640.0,20.0
FB619,8/8/2019,6:45,NKX,8/8/2019,8:30,XSJ,C1F1,640.0,20.0
FB619,8/9/2019,6:45,NKX,8/9/2019,8:30,XSJ,C1F1,640.0,20.0
FB619,8/10/2019,6:45,NKX,8/10/2019,8:30,XSJ,C1F1,640.0,20.0
FB381,8/6/2019,6:50,NKX,8/6/2019,8:05,YKJ,C1F1,640.0,20.0
FB381,8/9/2019,6:50,NKX,8/9/2019,8:05,YKJ,C1F1,640.0,20.0
FB381,8/10/2019,6:50,NKX,8/10/2019,8:05,YKJ,C1F1,640.0,20.0
FB631,8/7/2019,6:55,NKX,8/7/2019,8:25,HWX,C1F1,640.0,20.0
FB631,8/8/2019,6:55,NKX,8/8/2019,8:25,HWX,C1F1,640.0,20.0
FB393,8/6/2019,6:55,NKX,8/6/2019,7:55,UYS,C1F1,640.0,20.0
FB393,8/7/2019,6:55,NKX,8/7/2019,7:55,UYS,C1F1,640.0,20.0
FB393,8/8/2019,6:55,NKX,8/8/2019,7:55,UYS,C1F1,640.0,20.0
FB393,8/9/2019,6:55,NKX,8/9/2019,7:55,UYS,C1F1,640.0,20.0
FB393,8/10/2019,6:55,NKX,8/10/2019,7:55,UYS,C1F1,640.0,20.0
FB13,8/6/2019,7:00,NKX,8/6/2019,8:05,HOM,C1F1,640.0,20.0
FB13,8/7/2019,7:00,NKX,8/7/2019,8:05,HOM,C1F1,640.0,20.0
FB13,8/8/2019,7:00,NKX,8/8/2019,8:05,HOM,C1F1,640.0,20.0
FB13,8/9/2019,7:00,NKX,8/9/2019,8:05,HOM,C1F1,640.0,20.0
FB13,8/10/2019,7:00,NKX,8/10/2019,8:05,HOM,C1F1,640.0,20.0
FB51,8/6/2019,7:00,NKX,8/6/2019,8:30,NOU,C1F1,640.0,20.0
