FltNum,DptrDate,DptrTime,DptrStn,ArrvDate,ArrvTime,ArrvStn,Comp,DutyCostPerHour,ParingCostPerHour
FB8559,8/13/2019,0:05,HOM,8/13/2019,2:05,SXA,C1F1,640.0,20.0
FB8559,8/14/2019,0:05,HOM,8/14/2019,2:05,SXA,C1F1,640.0,20.0
FB8559,8/15/2019,0:05,HOM,8/15/2019,2:05,SXA,C1F1,640.0,20.0
FB8567,8/13/2019,0:35,XXJ,8/13/2019,2:25,SXA,C1F1,,
FB8567,8/14/2019,0:35,XXJ,8/14/2019,2:25,SXA,C1F1,,
FB8567,8/15/2019,0:35,XXJ,8/15/2019,2:25,SXA,C1F1,,
FB1000,8/11/2019,3:35,SXA,8/11/2019,5:55,NKX,C1F1,,
FB1000,8/13/2019,3:35,SXA,8/13/2019,5:55,NKX,C1F1,,
FB1000,8/14/2019,3:35,SXA,8/14/2019,5:55,NKX,C1F1,,
FB1000,8/15/2019,3:35,SXA,8/15/2019,5:55,NKX,C1F1,,
FB8558,8/13/2019,4:50,SXA,8/13/2019,7:00,NKX,C1F1,,
FB8558,8/14/2019,4:50,SXA,8/14/2019,7:00,NKX,C1F1,,
FB8558,8/15/2019,4:50,SXA,8/15/2019,7:00,NKX,C1F1,,
FB89,8/11/2019,6:10,NKX,8/11/2019,9:00,HUK,C1F1,640.0,20.0
FB89,8/12/2019,6:10,NKX,8/12/2019,9:00,HUK,C1F1,640.0,20.0
FB89,8/13/2019,6:10,NKX,8/13/2019,9:00,HUK,C1F1,640.0,20.0
FB89,8/14/2019,6:10,NKX,8/14/2019,9:00,HUK,C1F1,640.0,20.0
FB89,8/15/2019,6:10,NKX,8/15/2019,9:00,HUK,C1F1,640.0,20.0
FB239,8/11/2019,6:25,NKX,8/11/2019,8:15,FBX,C1F1,640.0,20.0
FB239,8/12/2019,6:25,NKX,8/12/2019,8:15,FBX,C1F1,640.0,20.0
FB239,8/13/2019,6:25,NKX,8/13/2019,8:15,FBX,C1F1,640.0,20.0
